"iterationcount","temperaturetracker"
1,1000
2,500
3,333.333333333333
4,250
5,200
6,166.666666666667
7,142.857142857143
8,125
9,111.111111111111
10,100
11,90.9090909090909
12,83.3333333333333
13,76.9230769230769
14,71.4285714285714
15,66.6666666666667
16,62.5
17,58.8235294117647
18,55.5555555555556
19,52.6315789473684
20,50
21,47.6190476190476
22,45.4545454545455
23,43.4782608695652
24,41.6666666666667
25,40
26,38.4615384615385
27,37.037037037037
28,35.7142857142857
29,34.4827586206897
30,33.3333333333333
31,32.258064516129
32,31.25
33,30.3030303030303
34,29.4117647058824
35,28.5714285714286
36,27.7777777777778
37,27.027027027027
38,26.3157894736842
39,25.6410256410256
40,25
41,24.390243902439
42,23.8095238095238
43,23.2558139534884
44,22.7272727272727
45,22.2222222222222
46,21.7391304347826
47,21.2765957446809
48,20.8333333333333
49,20.4081632653061
50,20
51,19.6078431372549
52,19.2307692307692
53,18.8679245283019
54,18.5185185185185
55,18.1818181818182
56,17.8571428571429
57,17.5438596491228
58,17.2413793103448
59,16.9491525423729
60,16.6666666666667
61,16.3934426229508
62,16.1290322580645
63,15.8730158730159
64,15.625
65,15.3846153846154
66,15.1515151515152
67,14.9253731343284
68,14.7058823529412
69,14.4927536231884
70,14.2857142857143
71,14.0845070422535
72,13.8888888888889
73,13.6986301369863
74,13.5135135135135
75,13.3333333333333
76,13.1578947368421
77,12.987012987013
78,12.8205128205128
79,12.6582278481013
80,12.5
81,12.3456790123457
82,12.1951219512195
83,12.0481927710843
84,11.9047619047619
85,11.7647058823529
86,11.6279069767442
87,11.4942528735632
88,11.3636363636364
89,11.2359550561798
90,11.1111111111111
91,10.989010989011
92,10.8695652173913
93,10.752688172043
94,10.6382978723404
95,10.5263157894737
96,10.4166666666667
97,10.3092783505155
98,10.2040816326531
99,10.1010101010101
100,10
101,9.9009900990099
102,9.80392156862745
103,9.70873786407767
104,9.61538461538461
105,9.52380952380952
106,9.43396226415094
107,9.34579439252336
108,9.25925925925926
109,9.1743119266055
110,9.09090909090909
111,9.00900900900901
112,8.92857142857143
113,8.84955752212389
114,8.7719298245614
115,8.69565217391304
116,8.62068965517241
117,8.54700854700855
118,8.47457627118644
119,8.40336134453782
120,8.33333333333333
121,8.26446280991735
122,8.19672131147541
123,8.13008130081301
124,8.06451612903226
125,8
126,7.93650793650794
127,7.8740157480315
128,7.8125
129,7.75193798449612
130,7.69230769230769
131,7.63358778625954
132,7.57575757575758
133,7.5187969924812
134,7.46268656716418
135,7.40740740740741
136,7.35294117647059
137,7.2992700729927
138,7.2463768115942
139,7.19424460431655
140,7.14285714285714
141,7.09219858156028
142,7.04225352112676
143,6.99300699300699
